Date,Cases,Deaths
04-12-2020,"22,795",640
04-13-2020,"23,931",714
04-14-2020,"25,356",767
04-15-2020,"26,686",860
04-16-2020,"27,677",956
04-17-2020,"29,157","1,037"
04-18-2020,"30,491","1,140"
04-19-2020,"31,431","1,177"
04-20-2020,"33,686","1,225"
04-21-2020,"35,465","1,282"
04-22-2020,"37,344","1,421"
04-23-2020,"39,561","1,533"
04-24-2020,"41,355","1,621"
04-25-2020,"42,368","1,689"
04-26-2020,"43,558","1,725"
04-27-2020,"44,966","1,779"
04-28-2020,"46,164","1,864"
04-29-2020,"48,747","1,946"
04-30-2020,"50,130","2,031"
05-01-2020,"52,026","2,126"
05-02-2020,"53,347","2,180"
05-03-2020,"54,903","2,216"
05-04-2020,"55,884","2,278"
05-05-2020,"58,456","2,381"
05-06-2020,"60,616","2,464"
05-07-2020,"62,148","2,535"
05-08-2020,"63,779","2,613"
05-09-2020,"66,558","2,687"
05-10-2020,"67,600","2,716"
05-11-2020,"69,329","2,779"
05-12-2020,"70,978","2,879"
05-13-2020,"72,798","2,957"
05-14-2020,"74,871","3,052"
05-15-2020,"76,693","3,136"
05-16-2020,"78,725","3,208"
05-17-2020,"80,166","3,240"
05-18-2020,"81,457","3,279"
05-19-2020,"83,752","3,403"
05-20-2020,"85,997","3,497"
05-21-2020,"88,031","3,583"
05-22-2020,"90,252","3,666"
05-23-2020,"92,539","3,738"
05-24-2020,"94,020","3,754"
05-25-2020,"96,400","3,769"
05-26-2020,"99,387","3,819"
05-27-2020,"101,050","3,895"
05-28-2020,"103,813","3,993"
05-29-2020,"106,622","4,077"
05-30-2020,"109,895","4,144"
05-31-2020,"111,951","4,172"
06-01-2020,"114,733","4,217"
06-02-2020,"117,215","4,305"
06-03-2020,"119,348","4,374"
06-04-2020,"122,168","4,444"
06-05-2020,"125,738","4,529"
06-06-2020,"128,593","4,607"
06-07-2020,"130,615","4,632"
06-08-2020,"133,816","4,657"
06-09-2020,"136,641","4,745"
06-10-2020,"139,715","4,854"
06-11-2020,"143,377","4,934"
06-12-2020,"146,659","4,978"
06-13-2020,"150,018","5,076"
06-14-2020,"152,300","5,099"
06-15-2020,"155,726","5,114"
06-16-2020,"158,961","5,200"
06-17-2020,"162,798","5,271"
06-18-2020,"167,086","5,355"
06-19-2020,"170,862","5,426"
06-20-2020,"175,213","5,494"
06-21-2020,"178,546","5,515"
06-22-2020,"184,765","5,566"
06-23-2020,"191,477","5,626"
06-24-2020,"195,925","5,725"
06-25-2020,"201,112","5,806"
06-26-2020,"206,844","5,868"
06-27-2020,"210,584","5,899"
06-28-2020,"215,296","5,932"
06-29-2020,"223,646","5,983"
06-30-2020,"231,232","6,082"
07-01-2020,"238,681","6,169"
07-02-2020,"246,550","6,265"
07-03-2020,"250,514","6,315"
07-04-2020,"252,895","6,334"
07-05-2020,"264,681","6,373"
07-06-2020,"271,035","6,441"
07-07-2020,"284,012","6,573"
07-08-2020,"292,560","6,718"
07-09-2020,"302,484","6,859"
07-10-2020,"310,885","6,955"
07-11-2020,"318,761","7,027"
