City of Agoura Hills	2614	12517	20	96
City of Alhambra	13522	15592	226	261
City of Arcadia	6307	10920	150	260
City of Artesia	3389	20179	81	482
City of Avalon	50	1292	0	0
City of Azusa	11328	22638	145	290
City of Baldwin Park	19426	25304	355	462
City of Bell	11042	30392	130	358
City of Bell Gardens	11577	26879	126	293
City of Bellflower	19245	24757	224	288
City of Beverly Hills	6796	19687	36	104
City of Bradbury	53	4958	0	0
City of Burbank	18288	17063	274	256
City of Calabasas	3175	13053	35	144
City of Carson	20953	22327	277	295
City of Cerritos	6720	13422	66	132
City of Claremont	4833	13247	66	181
City of Commerce*	3689	28227	42	321
City of Compton	27478	27504	295	295
City of Covina	12212	24906	186	379
City of Cudahy	8039	33018	68	279
City of Culver City	5943	14908	120	301
City of Diamond Bar	7161	12451	94	163
City of Downey	29864	26136	336	294
City of Duarte	4246	19286	108	491
City of El Monte	26874	22917	478	408
City of El Segundo	2318	13809	13	77
City of Gardena	13204	21536	234	382
City of Glendale	37328	18077	749	363
City of Glendora	9658	18304	214	406
City of Hawaiian Gardens	3458	23562	27	184
City of Hawthorne	19145	21563	255	287
City of Hermosa Beach	2821	14342	12	61
City of Hidden Hills	218	11534	2	106
City of Huntington Park	17948	30173	194	326
City of Industry	269	61556	5	1144
City of Inglewood	25114	22111	363	320
City of Irwindale	456	31254	7	480
City of La Canada Flintridge	2337	11294	17	82
City of La Habra Heights	150	2750	2	37
City of La Mirada	8487	17111	149	300
City of La Puente	10428	25624	137	337
City of La Verne	5922	17793	70	210
City of Lakewood	15260	18989	140	174
City of Lancaster*	41365	25602	380	235
City of Lawndale	6804	20242	60	178
City of Lomita	3470	16740	48	232
City of Long Beach	91436	18892	1088	224
City of Lynwood*	20376	28282	267	371
City of Malibu	1689	13031	13	100
City of Manhattan Beach	4137	11492	20	56
City of Maywood	8390	29912	99	353
City of Monrovia	6603	17018	89	229
City of Montebello	16119	25039	251	390
City of Monterey Park	9153	14701	210	337
City of Norwalk	27260	25329	429	399
City of Palmdale	43461	27339	393	247
City of Palos Verdes Estates	1247	9222	10	74
City of Paramount	15655	27944	180	321
City of Pasadena	20652	11838	377	216
City of Pico Rivera	17500	27223	299	465
City of Pomona	42410	27198	521	334
City of Rancho Palos Verdes	4023	9411	72	168
City of Redondo Beach	8211	11952	59	86
City of Rolling Hills	161	8299	3	155
City of Rolling Hills Estates	804	9910	8	99
City of Rosemead	8533	15416	171	309
City of San Dimas*	6520	18890	104	301
City of San Fernando	8747	35540	75	305
City of San Gabriel	5888	14377	222	542
City of San Marino	1096	8255	11	83
City of Santa Clarita	45317	20559	316	143
City of Santa Fe Springs	5199	28311	50	272
City of Santa Monica	13691	14810	200	216
City of Sierra Madre	1209	11002	14	127
City of Signal Hill	2405	20387	11	93
City of South El Monte	5366	25693	77	369
City of South Gate	30955	31537	275	280
City of South Pasadena	3188	12237	49	188
City of Temple City	4878	13381	130	357
City of Torrance	18149	12159	257	172
City of Vernon	219	104785	0	0
City of Walnut	3746	12269	42	138
City of West Covina	23765	21957	316	292
City of West Hollywood	6743	18248	49	133
City of Westlake Village	228	2727	1	12
City of Whittier	19319	22096	293	335
Los Angeles	958332	23694	11075	274
Los Angeles - Adams-Normandie	2067	25201	18	219
Los Angeles - Alsace	2898	23286	23	185
Los Angeles - Angeles National Forest	6	15000	0	0
Los Angeles - Angelino Heights	511	20424	6	240
Los Angeles - Arleta	11561	33637	128	372
Los Angeles - Atwater Village	2922	19924	29	198
Los Angeles - Baldwin Hills	6061	19473	84	270
Los Angeles - Bel Air	1206	14308	3	36
Los Angeles - Beverly Crest	1921	15337	7	56
Los Angeles - Beverlywood	2450	18599	4	30
Los Angeles - Boyle Heights*	27247	31360	334	384
Los Angeles - Brentwood	4519	14599	21	68
Los Angeles - Brookside	81	13941	2	344
Los Angeles - Cadillac-Corning	1509	21191	11	154
Los Angeles - Canoga Park	16648	25499	187	286
Los Angeles - Carthay	2403	16730	81	564
Los Angeles - Central	12026	30842	144	369
Los Angeles - Century City	1791	14001	16	125
Los Angeles - Century Palms/Cove	11140	32992	115	341
Los Angeles - Chatsworth	7626	20577	98	264
Los Angeles - Cheviot Hills	1272	13870	9	98
