Long Beach	62123	990
Pasadena	12891	356	
City of Agoura Hills	1350	6465	20	96
City of Alhambra	7904	9114	213	246
City of Arcadia	3221	5577	143	248
City of Artesia	2386	14207	73	435
City of Avalon	28	724	0	0
City of Azusa	7142	14273	122	244
City of Baldwin Park	14282	18604	328	427
City of Bell	7361	20260	123	339
City of Bell Gardens	8928	20729	115	267
City of Bellflower	12507	16089	208	268
City of Beverly Hills	3486	10098	34	98
City of Bradbury	41	3835	0	0
City of Burbank	10687	9971	253	236
City of Calabasas	1670	6866	33	136
City of Carson	11622	12384	259	276
City of Cerritos	3596	7182	58	116
City of Claremont	2673	7326	57	156
City of Commerce*	2656	20323	39	298
City of Compton	19072	19090	268	268
City of Covina	7390	15072	172	351
City of Cudahy	5277	21674	64	263
City of Culver City	2767	6941	112	281
City of Diamond Bar	3836	6670	87	151
City of Downey	19794	17323	314	275
City of Duarte	2667	12114	98	445
City of El Monte	18579	15843	443	378
City of El Segundo	995	5928	10	60
City of Gardena	7493	12221	207	338
City of Glendale	23790	11521	657	318
City of Glendora	5683	10771	188	356
City of Hawaiian Gardens	2509	17096	24	164
City of Hawthorne	12240	13786	218	246
City of Hermosa Beach	1442	7331	10	51
City of Hidden Hills	123	6508	2	106
City of Huntington Park	12058	20271	176	296
City of Industry	188	43021	5	1144
City of Inglewood	16282	14335	329	290
City of Irwindale	294	20151	7	480
City of La Canada Flintridge	998	4823	17	82
City of La Habra Heights	126	2310	2	37
City of La Mirada	5060	10202	119	240
City of La Puente	7339	18033	122	300
City of La Verne	3375	10141	58	174
City of Lakewood	8896	11070	115	143
City of Lancaster*	26647	16493	304	188
City of Lawndale	4137	12307	55	164
City of Lomita	1835	8852	39	188
City of Lynwood*	14566	20217	247	343
City of Malibu	622	4799	10	77
City of Manhattan Beach	1932	5367	18	50
City of Maywood	5667	20204	94	335
City of Monrovia	3759	9688	80	206
City of Montebello	11241	17462	227	353
City of Monterey Park	5421	8707	200	321
City of Norwalk	18058	16779	394	366
City of Palmdale	28307	17807	336	211
City of Palos Verdes Estates	631	4666	10	74
City of Paramount	11079	19776	160	286
City of Pico Rivera	12254	19062	278	432
City of Pomona	28016	17967	482	309
City of Rancho Palos Verdes	2000	4679	58	136
City of Redondo Beach	3874	5639	54	79
City of Rolling Hills	77	3969	2	103
