City of Agoura Hills	140	670	2	10
City of Alhambra	1101	1270	23	27
City of Arcadia	429	743	30	52
City of Artesia	290	1727	4	24
City of Avalon	5	129	0	0
City of Azusa	1339	2676	15	30
City of Baldwin Park	2504	3262	73	95
City of Bell	1394	3837	36	99
City of Bell Gardens	1704	3956	21	49
City of Bellflower	2092	2691	54	69
City of Beverly Hills	593	1718	11	32
City of Bradbury	13	1216	0	0
City of Burbank	1255	1171	55	51
City of Calabasas	229	941	12	49
City of Carson	1621	1727	48	51
City of Cerritos	497	993	13	26
City of Claremont	323	885	8	22
City of Commerce*	504	3856	9	69
City of Compton	3543	3546	55	55
City of Covina	1195	2437	22	45
City of Cudahy	988	4058	15	62
City of Culver City	363	911	29	73
City of Diamond Bar	481	836	7	12
City of Downey	3586	3138	76	67
City of Duarte	447	2030	25	114
City of El Monte	3900	3326	129	110
City of El Segundo	115	685	1	6
City of Gardena	1071	1747	37	60
City of Glendale	2929	1418	157	76
City of Glendora	1119	2121	61	116
City of Hawaiian Gardens	471	3209	2	14
City of Hawthorne	1725	1943	36	41
City of Hermosa Beach	183	930	3	15
City of Hidden Hills	7	370	0	0
City of Huntington Park	2518	4233	39	66
City of Industry	30	6865	2	458
City of Inglewood	2549	2244	82	72
City of Irwindale	62	4249	2	137
City of La Canada Flintridge	153	739	7	34
City of La Habra Heights	32	587	0	0
City of La Mirada	755	1522	24	48
City of La Puente	1334	3278	15	37
City of La Verne	399	1199	10	30
City of Lakewood	1098	1366	9	11
City of Lancaster*	2751	1703	37	23
City of Lawndale	565	1681	9	27
City of Lomita	217	1047	8	39
City of Long Beach	10111	2089	201	41
City of Lynwood*	2858	3967	85	118
City of Malibu	91	702	3	23
City of Manhattan Beach	304	844	4	11
City of Maywood	1248	4449	30	107
City of Monrovia	656	1691	35	90
City of Montebello	1994	3097	40	62
City of Monterey Park	840	1349	28	45
City of Norwalk	2898	2693	66	61
City of Palmdale	3456	2174	50	31
City of Palos Verdes Estates	78	577	2	15
City of Paramount	2149	3836	25	45
City of Pasadena	2283	1308	111	63
City of Pico Rivera	2112	3285	62	96
City of Pomona	4778	3064	96	62
City of Rancho Palos Verdes	260	608	12	28
City of Redondo Beach	505	735	9	13
City of Rolling Hills	8	412	0	0
City of Rolling Hills Estates	36	444	2	25
City of Rosemead	723	1306	24	43
City of San Dimas*	454	1315	10	29
City of San Fernando	767	3116	17	69
City of San Gabriel	541	1321	37	90
City of San Marino	69	520	2	15
City of Santa Clarita	2809	1274	41	19
City of Santa Fe Springs	479	2608	5	27
City of Santa Monica	740	800	39	42
City of Sierra Madre	66	601	3	27
City of Signal Hill	232	1967	1	8
City of South El Monte	711	3404	13	62
City of South Gate	3932	4006	59	60
City of South Pasadena	242	929	26	100
City of Temple City	471	1292	40	110
City of Torrance	1241	831	62	42
City of Vernon	9	4306	0	0
City of Walnut	236	773	3	10
City of West Covina	2502	2312	51	47
City of West Hollywood	482	1304	5	14
City of Westlake Village	25	299	0	0
City of Whittier	1945	2225	25	29
Los Angeles	93931	2322	2439	60
Los Angeles - Adams-Normandie	232	2829	3	37
Los Angeles - Alsace	316	2539	2	16
Los Angeles - Angeles National Forest	2	5000	0	0
Los Angeles - Angelino Heights	56	2238	1	40
Los Angeles - Arleta	1221	3553	23	67
Los Angeles - Atwater Village	205	1398	5	34
Los Angeles - Baldwin Hills	546	1754	26	84
Los Angeles - Bel Air	69	819	0	0
Los Angeles - Beverly Crest	102	814	2	16
Los Angeles - Beverlywood	132	1002	0	0
Los Angeles - Boyle Heights*	3899	4488	55	63
Los Angeles - Brentwood	248	801	3	10
Los Angeles - Brookside	3	516	0	0
Los Angeles - Cadillac-Corning	108	1517	1	14
Los Angeles - Canoga Park	1599	2449	52	80
Los Angeles - Carthay	189	1316	13	91
Los Angeles - Central	1919	4922	39	100
Los Angeles - Century City	106	829	0	0
Los Angeles - Century Palms/Cove	1349	3995	18	53
Los Angeles - Chatsworth	584	1576	34	92
Los Angeles - Cheviot Hills	61	665	2	22
Los Angeles - Chinatown	107	1334	3	37
Los Angeles - Cloverdale/Cochran	261	1793	5	34
Los Angeles - Country Club Park	266	1755	22	145
Los Angeles - Crenshaw District	268	1938	3	22
Los Angeles - Crestview	170	1495	19	167
Los Angeles - Del Rey	314	1049	9	30
Los Angeles - Downtown*	661	2403	13	47
Los Angeles - Eagle Rock	581	1468	18	45
Los Angeles - East Hollywood	549	1875	43	147
Los Angeles - Echo Park	205	1438	4	28
Los Angeles - El Sereno	1089	2605	30	72
Los Angeles - Elysian Park	87	1523	0	0
Los Angeles - Elysian Valley	235	2310	3	29
Los Angeles - Encino	492	1089	17	38
Los Angeles - Exposition	71	2135	1	30
Los Angeles - Exposition Park	1168	2600	19	42
Los Angeles - Faircrest Heights	28	778	2	56
Los Angeles - Figueroa Park Square	291	3337	4	46
Los Angeles - Florence-Firestone	2054	4329	23	48
Los Angeles - Glassell Park	593	1876	13	41
