City of Agoura Hills	1014	4856	18	86
City of Alhambra	6761	7796	198	228
City of Arcadia	2660	4606	128	222
City of Artesia	2042	12158	69	411
City of Avalon	16	414	0	0
City of Azusa	6222	12434	113	226
City of Baldwin Park	12998	16931	290	378
City of Bell	6705	18455	113	311
City of Bell Gardens	8237	19124	108	251
City of Bellflower	10571	13599	191	246
City of Beverly Hills	2607	7552	32	93
City of Bradbury	35	3274	0	0
City of Burbank	8665	8085	233	217
City of Calabasas	1215	4995	32	132
City of Carson	9465	10086	235	250
City of Cerritos	2991	5974	55	110
City of Claremont	2230	6112	52	143
City of Commerce*	2384	18242	39	298
City of Compton	16727	16743	221	221
City of Covina	6332	12914	154	314
City of Cudahy	4733	19440	59	242
City of Culver City	2162	5423	104	261
City of Diamond Bar	3177	5524	78	136
City of Downey	17291	15133	285	249
City of Duarte	2287	10388	92	418
City of El Monte	17030	14522	416	355
City of El Segundo	695	4140	6	36
City of Gardena	6181	10082	180	294
City of Glendale	19521	9454	588	285
City of Glendora	4723	8951	173	328
City of Hawaiian Gardens	2206	15031	18	123
City of Hawthorne	10274	11572	198	223
City of Hermosa Beach	959	4875	10	51
City of Hidden Hills	87	4603	2	106
City of Huntington Park	11100	18660	164	276
City of Industry	167	38215	6	1373
City of Inglewood	13342	11747	293	258
City of Irwindale	250	17135	5	343
City of La Canada Flintridge	745	3600	15	72
City of La Habra Heights	110	2016	1	18
City of La Mirada	4195	8458	110	222
City of La Puente	6620	16267	112	275
City of La Verne	2822	8479	50	150
City of Lakewood	7150	8897	92	114
City of Lancaster*	21627	13386	268	166
City of Lawndale	3520	10472	53	158
City of Lomita	1428	6889	28	135
City of Long Beach	52255	10796	913	188
City of Lynwood*	13163	18270	226	314
City of Malibu	395	3048	7	54
City of Manhattan Beach	1285	3570	18	50
City of Maywood	5160	18396	84	299
City of Monrovia	3129	8064	74	191
City of Montebello	10055	15619	203	315
City of Monterey Park	4750	7629	186	299
City of Norwalk	15902	14776	347	322
City of Palmdale	24151	15192	299	188
City of Palos Verdes Estates	437	3232	9	67
City of Paramount	9804	17500	143	255
City of Pasadena	11151	6392	335	192
City of Pico Rivera	10997	17107	258	401
City of Pomona	24092	15450	440	282
City of Rancho Palos Verdes	1455	3404	53	124
City of Redondo Beach	2689	3914	46	67
City of Rolling Hills	54	2784	2	103
City of Rolling Hills Estates	272	3353	8	99
City of Rosemead	4873	8804	133	240
City of San Dimas*	3179	9210	88	255
City of San Fernando	5203	21140	59	240
City of San Gabriel	3185	7777	195	476
City of San Marino	378	2847	9	68
City of Santa Clarita	20013	9079	256	116
City of Santa Fe Springs	2832	15421	35	191
City of Santa Monica	4630	5008	179	194
City of Sierra Madre	458	4168	14	127
City of Signal Hill	1123	9519	8	68
City of South El Monte	3398	16270	61	292
City of South Gate	18401	18747	221	225
City of South Pasadena	1297	4978	38	146
City of Temple City	2327	6383	117	321
City of Torrance	7054	4726	202	135
City of Vernon	125	59809	0	0
City of Walnut	1741	5702	35	115
City of West Covina	12698	11732	249	230
City of West Hollywood	2232	6040	36	97
City of Westlake Village	109	1304	1	12
City of Whittier	10917	12486	233	266
Los Angeles	495959	12262	9322	230
Los Angeles - Adams-Normandie	1178	14362	18	219
Los Angeles - Alsace	1568	12599	20	161
Los Angeles - Angeles National Forest	5	12500	0	0
Los Angeles - Angelino Heights	280	11191	6	240
Los Angeles - Arleta	7010	20396	109	317
Los Angeles - Atwater Village	1388	9464	27	184
Los Angeles - Baldwin Hills	2666	8565	59	190
Los Angeles - Bel Air	388	4603	2	24
Los Angeles - Beverly Crest	617	4926	4	32
Los Angeles - Beverlywood	887	6733	2	15
Los Angeles - Boyle Heights*	17284	19893	292	336
Los Angeles - Brentwood	1493	4823	17	55
Los Angeles - Brookside	31	5336	2	344
Los Angeles - Cadillac-Corning	692	9718	9	126
Los Angeles - Canoga Park	9232	14140	165	253
Los Angeles - Carthay	912	6350	72	501
Los Angeles - Central	7522	19291	131	336
Los Angeles - Century City	596	4659	14	109
Los Angeles - Century Palms/Cove	6111	18098	86	255
Los Angeles - Chatsworth	3552	9584	74	200
Los Angeles - Cheviot Hills	444	4841	7	76
Los Angeles - Chinatown	720	8976	15	187
Los Angeles - Cloverdale/Cochran	1577	10836	22	151
Los Angeles - Country Club Park	1526	10071	76	502
Los Angeles - Crenshaw District	1445	10449	25	181
Los Angeles - Crestview	997	8770	44	387
Los Angeles - Del Rey	1969	6577	30	100
Los Angeles - Downtown*	3913	14225	51	185
Los Angeles - Eagle Rock	3618	9139	107	270
Los Angeles - East Hollywood	3196	10913	110	376
Los Angeles - Echo Park	1316	9231	21	147
Los Angeles - El Sereno	6133	14669	107	256
Los Angeles - Elysian Park	500	8754	4	70
Los Angeles - Elysian Valley	1289	12673	25	246
Los Angeles - Encino	3366	7452	58	128
Los Angeles - Exposition	361	10854	7	210
Los Angeles - Exposition Park	6134	13656	83	185
Los Angeles - Faircrest Heights	259	7194	2	56
Los Angeles - Figueroa Park Square	1343	15400	24	275
Los Angeles - Florence-Firestone	9199	19389	115	242
Los Angeles - Glassell Park	3385	10711	51	161
Los Angeles - Gramercy Place	1297	12049	22	204
Los Angeles - Granada Hills	6380	10964	178	306
Los Angeles - Green Meadows	3892	18098	51	237
Los Angeles - Hancock Park	1026	6021	8	47
Los Angeles - Harbor City	2462	8469	34	117
Los Angeles - Harbor Gateway	4832	11083	64	147
Los Angeles - Harbor Pines	164	6808	0	0
Los Angeles - Harvard Heights	2573	14267	67	371
Los Angeles - Harvard Park	7096	18706	90	237
Los Angeles - Highland Park	5715	11810	101	209
Los Angeles - Historic Filipinotown	2024	14593	70	505
Los Angeles - Hollywood	5398	7909	65	95
Los Angeles - Hollywood Hills	1475	5011	25	85
Los Angeles - Hyde Park	3612	12655	75	263
Los Angeles - Jefferson Park	1156	14319	13	161
Los Angeles - Koreatown	5515	10669	122	236
Los Angeles - Lafayette Square	530	11625	9	197
Los Angeles - Lake Balboa	5336	12643	61	145
Los Angeles - Lakeview Terrace	2289	17429	40	305
Los Angeles - Leimert Park	1574	10331	22	144
Los Angeles - Lincoln Heights	5048	15486	156	479
Los Angeles - Little Armenia	1147	14293	83	1034
