Long Beach	63059	1000
Pasadena	13030	359	
City of Agoura Hills	1374	6580	19	91
City of Alhambra	7995	9219	214	247
City of Arcadia	3278	5676	145	251
City of Artesia	2408	14338	74	441
City of Avalon	31	801	0	0
City of Azusa	7229	14446	124	248
City of Baldwin Park	14407	18767	328	427
City of Bell	7423	20431	123	339
City of Bell Gardens	8975	20838	118	274
City of Bellflower	12687	16321	210	270
City of Beverly Hills	3531	10229	34	98
City of Bradbury	42	3929	0	0
City of Burbank	10851	10124	253	236
City of Calabasas	1711	7034	34	140
City of Carson	11759	12530	263	280
City of Cerritos	3645	7280	60	120
City of Claremont	2730	7483	57	156
City of Commerce*	2672	20445	39	298
City of Compton	19276	19295	269	269
City of Covina	7489	15274	172	351
City of Cudahy	5310	21810	65	267
City of Culver City	2830	7099	113	283
City of Diamond Bar	3898	6777	87	151
City of Downey	20012	17514	317	277
City of Duarte	2697	12250	99	450
City of El Monte	18764	16001	449	383
City of El Segundo	1023	6094	10	60
City of Gardena	7607	12407	209	341
City of Glendale	24093	11668	664	322
City of Glendora	5777	10949	192	364
City of Hawaiian Gardens	2530	17239	26	177
City of Hawthorne	12383	13947	224	252
City of Hermosa Beach	1481	7529	10	51
City of Hidden Hills	129	6825	2	106
City of Huntington Park	12187	20488	176	296
City of Industry	189	43249	5	1144
City of Inglewood	16494	14522	334	294
City of Irwindale	297	20356	7	480
City of La Canada Flintridge	1015	4905	17	82
City of La Habra Heights	126	2310	2	37
City of La Mirada	5164	10412	122	246
City of La Puente	7402	18188	126	310
City of La Verne	3438	10330	59	177
City of Lakewood	9087	11308	117	146
City of Lancaster*	27155	16807	311	192
City of Lawndale	4189	12462	56	167
City of Lomita	1869	9016	42	203
City of Lynwood*	14694	20395	247	343
City of Malibu	636	4907	10	77
City of Manhattan Beach	1972	5478	18	50
City of Maywood	5694	20300	94	335
City of Monrovia	3870	9974	81	209
City of Montebello	11345	17623	230	357
City of Monterey Park	5467	8781	201	323
City of Norwalk	18221	16931	395	367
City of Palmdale	28725	18070	342	215
City of Palos Verdes Estates	645	4770	10	74
City of Paramount	11176	19949	163	291
City of Pico Rivera	12365	19235	279	434
City of Pomona	28421	18227	485	311
City of Rancho Palos Verdes	2033	4756	59	138
City of Redondo Beach	3953	5754	55	80
City of Rolling Hills	78	4021	2	103
City of Rolling Hills Estates	420	5177	8	99
City of Rosemead	5469	9881	158	285
City of San Dimas*	3874	11224	99	287
City of San Fernando	5911	24017	69	280
City of San Gabriel	3599	8788	211	515
City of San Marino	459	3457	11	83
City of Santa Clarita	25888	11745	278	126
City of Santa Fe Springs	3294	17937	46	250
City of Santa Monica	6432	6958	186	201
City of Sierra Madre	598	5442	13	118
City of Signal Hill	1412	11969	10	85
City of South El Monte	3760	18003	70	335
City of South Gate	20813	21204	246	251
City of South Pasadena	1654	6349	45	173
City of Temple City	2686	7368	125	343
City of Torrance	9347	6262	229	153
City of Vernon	135	64593	0	0
City of Walnut	2087	6835	40	131
City of West Covina	14857	13727	281	260
City of West Hollywood	3510	9499	43	116
City of Westlake Village	145	1734	1	12
City of Whittier	12837	14682	268	307
Los Angeles	589429	14573	10265	254
Los Angeles - Adams-Normandie	1343	16374	18	219
Los Angeles - Alsace	1809	14536	21	169
Los Angeles - Angeles National Forest	5	12500	0	0
Los Angeles - Angelino Heights	335	13389	6	240
Los Angeles - Arleta	7761	22581	119	346
Los Angeles - Atwater Village	1686	11496	28	191
Los Angeles - Baldwin Hills	3495	11229	75	241
Los Angeles - Bel Air	542	6430	2	24
Los Angeles - Beverly Crest	862	6882	6	48
Los Angeles - Beverlywood	1245	9451	2	15
Los Angeles - Boyle Heights*	19059	21936	315	363
Los Angeles - Brentwood	2051	6626	18	58
Los Angeles - Brookside	45	7745	2	344
Los Angeles - Cadillac-Corning	843	11838	10	140
Los Angeles - Canoga Park	10748	16462	176	270
Los Angeles - Carthay	1265	8807	77	536
Los Angeles - Central	8288	21256	134	344
Los Angeles - Century City	842	6582	15	117
Los Angeles - Century Palms/Cove	7087	20989	106	314
Los Angeles - Chatsworth	4467	12053	83	224
Los Angeles - Cheviot Hills	636	6935	8	87
Los Angeles - Chinatown	911	11358	17	212
Los Angeles - Cloverdale/Cochran	1912	13138	26	179
Los Angeles - Country Club Park	1810	11945	82	541
Los Angeles - Crenshaw District	1809	13081	31	224
Los Angeles - Crestview	1257	11057	46	405
Los Angeles - Del Rey	2600	8685	35	117
Los Angeles - Downtown*	5212	18948	55	200
Los Angeles - Eagle Rock	4272	10791	116	293
Los Angeles - East Hollywood	3700	12634	120	410
Los Angeles - Echo Park	1640	11504	22	154
Los Angeles - El Sereno	6976	16686	114	273
Los Angeles - Elysian Park	635	11117	4	70
