,City/Community,Latitude,Longitude,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
1,City of Agoura Hills,34.151189,-118.761421,1062,5085,5184,19,91,90,20883
2,City of Alhambra,34.092668,-118.126349,6918,7977,7930,209,241,171,86724
3,City of Arcadia,34.137287,-118.038801,2754,4769,4760,137,237,154,57754
4,City of Artesia,33.867489,-118.080837,2081,12391,11738,73,435,363,16795
5,City of Avalon,33.333892,-118.33172,16,414,415,0,0,0,3869
6,City of Azusa,34.132619,-117.906025,6339,12668,12688,119,238,290,50040
7,City of Baldwin Park,34.082895,-117.972331,13194,17187,17042,317,413,464,76769
8,City of Bell,33.97979,-118.179821,6810,18744,18768,120,330,437,36332
9,City of Bell Gardens,33.966123,-118.155274,8392,19484,19736,112,260,393,43071
10,City of Bellflower,33.887202,-118.126882,10840,13945,13780,197,253,279,77735
11,City of Beverly Hills,34.077973,-118.401463,2702,7827,7994,33,96,55,34520
12,City of Bradbury,34.15345,-117.968512,39,3648,4113,0,0,0,1069
13,City of Burbank,34.187365,-118.323732,8999,8396,8144,243,227,180,107180
14,City of Calabasas,34.137358,-118.668533,1297,5332,5313,32,132,109,24323
15,City of Carson,33.837833,-118.255323,9920,10571,10414,254,271,210,93846
16,City of Cerritos,33.867515,-118.068483,3090,6172,6305,59,118,79,50067
17,City of Claremont,34.096047,-117.71686,2295,6290,6708,56,153,94,36484
18,City of Commerce,33.996161,-118.151913,2403,18387,18233,40,306,301,13069
19,City of Compton,33.893486,-118.22554,17193,17210,17275,240,240,311,99904
20,City of Covina,34.089347,-117.88219,6420,13093,12920,164,334,283,49032
21,City of Cudahy,33.9627,-118.182871,4820,19797,19829,60,246,377,24347
22,City of Culver City,34.005741,-118.39677,2242,5624,5589,110,276,189,39865
23,City of Diamond Bar,33.998945,-117.816083,3279,5701,5578,85,148,114,57515
24,City of Downey,33.936964,-118.132973,17641,15439,15160,301,263,258,114263
25,City of Duarte,34.138871,-117.970873,2323,10551,10232,97,441,301,22016
26,City of El Monte,34.074171,-118.028872,17263,14721,14563,435,371,375,117269
27,City of El Segundo,33.916558,-118.402125,744,4432,4465,6,36,32,16786
28,City of Gardena,33.882398,-118.307513,6423,10476,10438,193,315,239,61310
29,City of Glendale,34.147289,-118.248237,20272,9817,9402,628,304,209,206493
30,City of Glendora,34.135797,-117.864654,4855,9201,9095,178,337,254,52764
31,City of Hawaiian Gardens,33.830252,-118.07306,2245,15297,15183,24,164,187,14676
32,City of Hawthorne,33.914608,-118.347119,10634,11977,11847,210,237,270,88787
33,City of Hermosa Beach,33.865584,-118.396413,1026,5216,5066,10,51,68,19670
34,City of Hidden Hills,34.163756,-118.661141,91,4815,6696,2,106,66,1890
35,City of Huntington Park,33.980372,-118.217115,11275,18955,18851,172,289,374,59484
36,City of Industry,34.006533,-117.923025,173,39588,44776,6,1373,1278,437
37,City of Inglewood,33.956071,-118.344054,13812,12160,12004,310,273,285,113582
38,City of Irwindale,34.104517,-117.934167,253,17341,17271,7,480,435,1459
39,City of La Canada Flintridge,34.209828,-118.199558,771,3726,4643,17,82,51,20693
40,City of La Habra Heights,33.960594,-117.951422,117,2145,2212,2,37,16,5455
41,City of La Mirada,33.902264,-118.009463,4322,8714,8568,115,232,173,49599
42,City of La Puente,34.032205,-117.953359,6717,16505,16183,120,295,303,40697
43,City of La Verne,34.112079,-117.76505,2917,8764,8922,50,150,94,33282
44,City of Lakewood,33.847671,-118.133848,7371,9172,9155,100,124,107,80362
45,City of Lancaster,34.701724,-118.145003,22520,13938,14034,283,175,206,161570
46,City of Lawndale,33.898468,-118.353944,3636,10817,10534,54,161,187,33614
47,City of Lomita,33.793505,-118.317638,1514,7304,7369,34,164,134,20729
48,City of Lynwood,33.925443,-118.199846,13378,18568,18712,236,328,488,72047
49,City of Malibu,34.035244,-118.696535,447,3449,3703,8,62,30,12961
50,City of Manhattan Beach,33.889363,-118.397237,1386,3850,3904,17,47,42,35999
51,City of Maywood,33.988398,-118.187642,5252,18724,18998,92,328,478,28049
52,City of Monrovia,34.147528,-117.999381,3204,8258,8334,78,201,184,38800
53,City of Montebello,34.015306,-118.11092,10227,15887,15789,218,339,279,64375
54,City of Monterey Park,34.049478,-118.132381,4842,7777,7824,193,310,166,62262
55,City of Norwalk,33.906999,-118.083442,16220,15071,14771,375,348,344,107622
56,City of Palmdale,34.579169,-118.119083,24863,15640,15817,310,195,253,158968
57,City of Palos Verdes Estates,33.787502,-118.397314,488,3609,4191,9,67,26,13522
58,City of Paramount,33.897531,-118.165029,10012,17871,17747,154,275,365,56023
59,City of Pico Rivera,33.989581,-118.088477,11206,17432,17140,269,418,371,64284
60,City of Pomona,34.05829,-117.762727,24515,15722,15541,459,294,354,155931
61,City of Rancho Palos Verdes,33.745153,-118.404956,1554,3635,3909,58,136,57,42747
62,City of Redondo Beach,33.845386,-118.388506,2899,4220,4413,50,73,74,68697
63,City of Rolling Hills,33.760079,-118.347422,59,3041,4966,2,103,33,1940
64,City of Rolling Hills Estates,33.78352,-118.353089,291,3587,4658,8,99,45,8113
65,City of Rosemead,34.080255,-118.07648,4975,8988,8751,151,273,212,55350
66,City of San Dimas,34.107113,-117.803513,3258,9439,9502,94,272,186,34516
67,City of San Fernando,34.284055,-118.438854,5307,21563,21262,64,260,316,24612
68,City of San Gabriel,34.096429,-118.108061,3264,7970,7670,205,501,347,40954
69,City of San Marino,34.121248,-118.105733,388,2922,2975,10,75,65,13277
70,City of Santa Clarita,34.412654,-118.553711,20667,9376,9466,265,120,134,220424
71,City of Santa Fe Springs,33.945654,-118.083822,2890,15737,15700,38,207,175,18364
72,City of Santa Monica,34.011795,-118.491576,4864,5261,5172,183,198,134,92446
73,City of Sierra Madre,34.16131,-118.058046,474,4313,4184,13,118,63,10989
74,City of Signal Hill,33.796699,-118.167731,1145,9706,9900,8,68,68,11797
75,City of South El Monte,34.045436,-118.046184,3438,16462,16346,67,321,356,20885
76,City of South Gate,33.955686,-118.205231,18746,19098,18886,231,235,300,98155
77,City of South Pasadena,34.116008,-118.152108,1333,5116,5171,40,154,122,26053
78,City of Temple City,34.107566,-118.057936,2382,6534,6348,122,335,221,36455
79,City of Torrance,33.837073,-118.341361,7517,5036,5049,220,147,105,149268
80,City of Vernon,34.005188,-118.23187,124,59330,61596,0,0,0,209
81,City of Walnut,34.026332,-117.842314,1771,5800,5874,39,128,92,30532
82,City of West Covina,34.071623,-117.940172,12964,11978,11736,266,246,209,108235
83,City of West Hollywood,34.090421,-118.370723,2386,6457,6524,39,106,72,36951
84,City of Westlake Village,34.144461,-118.798775,117,1400,1419,1,12,8,8360
