date_use,total_cases,new_case,total_deaths,new_deaths,Long Beach Cases,Pasadena Cases,Total Cases (Daily Announced),Total Cases(summed),Long Beach Deaths,Pasadena Deaths,Total Deaths(announced),Total Deaths(sum)
3/1/20,,,,,,,,0,,,,0
3/2/20,519,25,0,0,,,,519,,,,0
3/3/20,538,19,0,0,,,1,538,,,,0
3/4/20,551,13,0,0,,,7,551,,,,0
3/5/20,570,19,0,0,,,11,570,,,,0
3/6/20,603,33,0,0,,,13,603,,,,0
3/7/20,646,43,0,0,,,14,646,,,,0
3/8/20,687,41,0,0,,,,687,,,,0
3/9/20,734,47,0,0,,,16,734,,,,0
3/10/20,821,87,0,0,,,17,821,,,,0
3/11/20,917,96,0,0,,,27,917,,,1,0
3/12/20,1049,132,0,0,,,32,1049,,,1,0
3/13/20,1207,158,0,0,,,40,1207,,,1,0
3/14/20,1359,152,0,0,,,53,1359,,,1,0
3/15/20,1503,144,0,0,,,69,1503,,,1,0
3/16/20,1671,168,0,0,,,94,1671,,,1,0
3/17/20,1896,225,0,0,,,144,1896,,,1,0
3/18/20,2104,208,0,0,,,190,2104,,,1,0
3/19/20,2291,187,0,0,,,231,2291,,,2,0
3/20/20,2509,218,4,4,,,292,2509,,,2,4
3/21/20,2761,252,7,3,,,351,2761,,,4,7
3/22/20,2956,195,10,3,15,3,409,2974,,,5,10
3/23/20,3208,252,14,4,17,3,536,3228,,,7,14
3/24/20,3499,291,21,7,21,6,662,3526,,,11,21
3/25/20,3779,280,24,3,28,7,799,3814,,,13,24
3/26/20,4215,436,31,7,41,9,"1,216",4265,,,21,31
3/27/20,4589,374,35,4,54,9,"1,465",4652,,,26,35
3/28/20,4962,373,44,9,79,9,"1,804",5050,,,32,44
3/29/20,5355,393,52,8,88,10,"2,136",5453,,,37,52
3/30/20,5725,370,67,15,99,10,"2,474",5834,,,44,67
3/31/20,6341,616,78,11,115,25,"3,011",6481,,,54,78
4/1/20,6979,638,95,17,133,33,"3,518",7145,,,65,95
4/2/20,7593,614,114,19,139,37,"4,045",7769,,,78,114
4/3/20,8213,620,136,22,153,37,"4,566",8403,,,89,136
4/4/20,9002,789,162,26,171,37,"5,277",9210,,,117,162
4/5/20,9592,590,183,21,198,58,"5,940",9848,,,132,183
4/6/20,10184,592,206,23,213,58,"6,360",10455,,,147,206
4/7/20,10721,537,223,17,230,72,"6,910",11023,,,169,223
4/8/20,11421,700,248,25,256,80,"7,530",11757,,,198,248
4/9/20,12027,606,288,40,287,94,"7,955",12408,,,223,288
4/10/20,12601,574,323,35,303,107,"8,430",13011,,,241,323
4/11/20,13183,582,353,30,316,117,"8,873",13616,,,265,353
4/12/20,13659,476,383,30,332,117,"9,192",14108,,,296,383
4/13/20,14094,435,420,37,337,117,"9,420",14548,,,320,420
4/14/20,14773,679,461,41,350,164,"10,047",15287,,,360,461
4/15/20,15435,662,508,47,363,179,"10,496",15977,,,402,508
4/16/20,16281,846,543,35,379,184,"10,854",16844,,,455,543
4/17/20,17046,765,601,58,406,198,"11,391",17650,,,495,601
4/18/20,17880,834,640,39,419,215,"12,021",18514,,,576,640
4/19/20,18494,614,678,38,449,215,"12,341",19158,,,600,678
4/20/20,18985,491,714,36,457,215,"13,816",19657,,,617,714
4/21/20,19927,942,761,47,464,249,"15,140",20640,,,663,761
4/22/20,20803,876,801,40,477,261,"16,435",21541,,,729,801
4/23/20,21580,777,848,47,489,263,"17,508",22332,,,797,848
4/24/20,22552,972,899,51,518,293,"18,517",23363,,,848,899
4/25/20,23566,1014,943,44,540,299,"19,107",24405,,,895,943
4/26/20,24466,900,982,39,563,299,"19,528",25328,,,913,982
4/27/20,25069,603,1023,41,576,325,"20,147",25970,,,942,1023
4/28/20,26148,1079,1060,37,582,362,"20,976",27092,,,"1,000",1060
4/29/20,27104,956,1114,54,602,383,"22,485",28089,,,"1,056",1114
4/30/20,28095,991,1156,42,629,393,"23,182",29117,,,"1,111",1156
5/1/20,29013,918,1201,45,667,406,"24,215",30086,,,"1,172",1201
5/2/20,29938,925,1237,36,709,411,"24,894",31058,,,"1,209",1237
5/3/20,30645,707,1286,49,745,417,"25,662",31807,,,"1,229",1286
5/4/20,31119,474,1330,44,760,439,"26,217",32318,,,"1,256",1330
5/5/20,32052,933,1374,44,768,452,"27,815",33272,,,"1,313",1374
5/6/20,33308,1256,1411,37,789,482,"28,644",34579,,,"1,367",1411
5/7/20,34308,1000,1464,53,791,501,"29,427",35600,,,"1,418",1464
5/8/20,35262,954,1514,50,875,516,"30,296",36653,,,"1,468",1514
5/9/20,36261,999,1564,50,898,531,"31,197",37690,,,"1,512",1564
5/10/20,36960,699,1614,50,931,542,"31,677",38433,,,"1,530",1614
5/11/20,37547,587,1646,32,948,551,"32,258",39046,,,"1,569",1646
5/12/20,38726,1179,1674,28,953,557,"33,180",40236,,,"1,613",1674
5/13/20,39824,1098,1722,48,984,593,"34,428",41401,,,"1,659",1722
5/14/20,40775,951,1763,41,1094,607,"35,329",42476,,,"1,709",1763
5/15/20,42026,1251,1794,31,1157,662,"36,259",43845,,,"1,755",1794
5/16/20,43147,1121,1837,43,1214,670,"37,303",45031,,,"1,793",1837
5/17/20,43905,758,1889,52,1271,684,"37,974",45860,,,"1,821",1889
5/18/20,44455,550,1927,38,1298,694,"38,451",46447,,,"1,839",1927
5/19/20,45618,1163,1972,45,1305,702,"39,573",47625,,,"1,913",1972
5/20/20,46576,958,2019,47,1362,704,"40,857",48642,,,"1,970",2019
5/21/20,47732,1156,2048,29,1400,784,"42,037",49916,,,"2,016",2048
5/22/20,48679,947,2075,27,1495,790,"43,052",50964,,,"2,049",2075
5/23/20,49650,971,2118,43,1513,805,"44,055",51968,,,"2,090",2118
5/24/20,50392,742,2152,34,1553,831,"44,988",52776,,,"2,104",2152
5/25/20,50899,507,2190,38,1582,848,"46,018",53329,,,"2,116",2190
5/26/20,51841,942,2218,28,1582,853,"47,822",54276,,,"2,143",2218
5/27/20,53522,1681,2258,40,1605,883,"48,700",56010,,,"2,195",2258
