City/Community,Latitude,Longitude,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20
City of Agoura Hills,34.151189,-118.761421,1,2,0,2,1,3,0,0,2,-1,4,2,1,1,0,1,0,1,0,0,0,0,1,0,1,0,2,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,4,0,2,2,0,1,1,1,0,1,1,2,4,3,1,0,0,2,1,3,1,0,4,0,1,2,2,3,5,3,0,0,0,1,2,4,2,1,1,0,1,7,2,2,6,1,0,1,0,1,1,3,1,0,0,2,0,0,0,0,0,0,5,3,1,2,1,0,1,1,0,2,3,1,1,1,0,0,2,1,0,0,2,1,-1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,24,0,-1,2,2,1,0,0,1,2,2,3,0,0,2,1,1,-2,2,2,1,4,1,2,2,1,1,4,1,0,0,3,1,1,0,1,2,0,2
City of Alhambra,34.092668,-118.126349,1,1,1,2,0,2,0,1,2,0,2,2,2,2,1,2,2,1,5,1,0,1,1,2,1,2,2,2,3,4,11,3,3,0,0,7,7,-1,2,2,1,1,0,12,3,4,4,3,3,4,10,5,4,4,5,1,0,4,5,5,7,2,1,0,9,4,5,4,9,11,5,6,0,2,3,7,10,1,3,4,10,10,6,4,3,3,17,2,8,9,9,14,12,6,12,11,13,12,23,10,7,17,0,0,38,11,26,10,10,3,18,13,13,24,10,24,14,11,12,25,10,14,5,11,25,11,8,28,33,11,13,16,10,6,10,8,17,9,13,5,10,5,5,4,13,5,5,11,2,11,12,10,5,4,2,4,8,7,7,6,0,6,3,9,6,11,2,3,0,1,1,8,6,4,4,5,1,5,5,7,1,1,1,4,5,9,6,8,5,3,2,5,5,15,6,3,3,5,13,5,8,6,3,5,2,5,5,1,6,1,7,7,-1,9,13,11,7,1,2,3,11,7,0,4,4,4,9,5,8,12,9,7,6
City of Arcadia,34.137287,-118.038801,1,1,0,2,0,2,1,0,1,2,0,1,0,1,2,1,0,1,1,1,2,0,1,2,1,1,1,0,2,2,2,0,0,0,2,0,1,1,0,1,4,0,1,2,2,2,1,1,1,1,5,3,1,2,0,0,0,1,2,1,1,2,0,3,5,0,0,2,1,4,1,3,3,0,1,2,2,1,2,0,2,1,1,0,1,3,4,10,1,2,3,4,4,3,4,2,7,8,2,4,5,4,0,0,14,3,9,4,4,4,7,8,4,0,3,7,7,8,6,4,5,3,4,3,7,1,7,2,5,3,3,12,3,10,3,8,11,5,11,5,2,3,5,4,10,1,2,1,2,6,5,5,2,1,0,2,3,2,1,2,2,3,0,3,2,1,4,0,0,4,0,0,3,0,3,1,3,1,1,3,2,3,1,0,7,4,6,4,2,2,1,3,3,3,4,3,6,12,2,3,2,0,2,1,0,5,2,0,3,0,1,3,2,11,4,2,2,2,1,4,4,3,11,4,0,2,4,3,3,3,2,0,6
City of Artesia,33.867489,-118.080837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,1,3,1,0,2,2,0,1,2,2,1,2,3,1,0,-1,2,1,1,3,1,1,5,3,1,3,2,8,0,2,6,2,2,0,2,7,0,2,3,3,3,2,4,0,0,13,3,4,2,3,5,3,10,10,4,5,3,3,3,3,3,6,7,4,5,5,3,2,3,3,4,0,2,2,2,2,2,6,6,1,0,-1,3,1,5,2,11,0,0,0,6,1,5,3,2,0,-1,4,1,4,1,1,2,0,3,0,0,1,0,0,0,0,6,0,24,10,1,1,6,0,0,2,3,2,2,1,0,12,1,2,0,1,0,0,3,1,2,0,2,1,0,0,0,1,0,1,0,1,-1,-2,1,0,3,0,4,4,2,1,0,4,0,3,1,0,0,0,1,2,9,1,5,2,2,1
City of Avalon,33.333892,-118.33172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Azusa,34.132619,-117.906025,0,0,0,1,0,0,1,1,2,2,1,0,0,5,0,1,0,0,4,1,1,0,1,1,0,0,0,0,1,8,6,3,5,3,1,6,6,7,1,2,1,5,2,4,6,7,0,5,0,2,3,5,3,0,3,1,1,2,7,0,3,3,5,3,11,6,3,5,9,7,0,6,9,11,3,4,5,5,5,2,14,9,14,3,6,4,5,4,9,12,15,15,14,5,12,11,7,14,29,14,12,8,0,0,57,10,22,14,15,19,31,31,17,28,20,29,11,11,24,20,24,20,6,12,30,18,24,24,30,11,22,7,15,9,6,20,21,17,16,18,8,7,13,11,17,14,9,12,6,13,16,15,11,9,9,5,10,17,15,9,5,1,2,1,4,15,8,1,4,0,7,2,5,4,3,4,1,5,9,2,8,1,2,7,6,4,11,9,3,5,9,3,9,6,7,4,4,6,5,8,8,5,5,6,2,5,9,3,5,-1,8,4,1,19,20,12,1,3,5,6,4,3,5,6,6,7,5,9,12,14,11,2,21
City of Baldwin Park,34.082895,-117.972331,0,0,0,0,0,0,0,0,2,1,2,2,2,1,1,0,1,3,3,4,3,3,3,3,1,2,3,1,3,8,5,5,5,3,2,1,4,6,2,4,5,6,7,9,8,2,2,16,5,3,6,10,10,3,10,1,3,12,7,10,11,13,13,10,15,8,9,22,13,9,10,10,9,6,11,12,2,5,7,8,18,19,20,10,19,22,17,9,15,18,26,36,54,16,18,16,25,39,41,38,26,23,0,0,121,22,42,31,21,26,39,47,38,53,37,57,40,35,40,47,37,29,15,26,32,20,36,30,58,24,28,31,14,11,25,39,38,42,28,28,36,15,25,29,35,22,20,5,11,17,13,14,14,9,16,8,19,19,15,11,10,29,6,16,21,19,30,11,4,10,7,11,17,7,13,10,2,14,16,20,12,13,2,15,10,31,14,28,7,11,11,24,16,9,10,9,6,10,14,3,23,13,10,13,11,9,17,6,9,0,7,6,4,51,23,17,5,9,12,3,12,8,9,15,10,17,7,13,24,26,16,13,42
City of Bell,33.97979,-118.179821,0,0,0,2,2,1,1,5,1,0,2,0,2,4,2,2,4,3,4,2,0,4,15,8,7,4,3,2,13,11,5,3,5,-1,0,1,2,2,5,6,3,2,0,0,5,2,2,5,2,1,9,14,0,1,5,2,2,11,24,10,9,4,12,2,26,9,6,19,18,5,6,2,9,22,19,8,4,2,12,11,20,11,11,7,0,11,12,6,7,17,18,18,11,3,9,11,9,13,21,11,9,6,0,0,31,7,19,12,9,19,15,14,7,29,17,23,14,11,26,25,10,14,4,10,22,9,13,11,25,29,19,13,7,12,23,17,16,14,19,15,18,13,20,9,15,11,8,5,8,0,7,7,10,5,7,2,8,8,7,3,5,5,1,8,4,11,9,4,3,2,2,10,7,6,5,7,5,9,7,6,12,5,1,11,5,9,7,12,6,-1,2,3,6,12,6,6,0,4,5,6,3,6,6,3,2,4,6,2,5,2,0,4,1,10,9,9,7,10,8,6,14,4,5,5,5,6,3,9,7,21,8,8,13
City of Bell Gardens,33.966123,-118.155274,0,0,3,0,-2,0,0,1,2,1,0,3,0,4,-1,1,5,4,2,3,2,5,2,4,2,5,6,2,4,5,7,5,5,2,0,2,6,7,6,3,3,0,1,7,4,4,4,4,0,3,4,9,3,4,2,1,3,9,14,9,10,5,10,4,34,3,6,19,26,9,4,11,4,14,5,1,9,6,19,5,18,13,6,13,5,16,24,7,7,25,24,21,13,2,12,14,18,26,16,25,12,7,0,0,42,10,47,38,11,31,26,18,21,26,27,27,21,21,18,37,23,25,7,13,31,17,18,14,31,24,18,29,10,7,12,17,25,14,24,11,25,15,19,16,26,18,7,7,6,19,10,16,5,2,4,4,8,7,4,5,15,9,6,6,1,11,8,9,8,2,4,4,6,8,2,5,4,7,9,13,7,14,2,8,8,8,19,13,5,4,5,9,15,18,10,18,3,3,12,7,17,10,11,7,3,13,9,10,6,-1,3,4,2,24,20,13,4,4,9,13,18,11,11,7,10,3,10,6,11,7,10,9,14
City of Bellflower,33.887202,-118.126882,2,0,4,1,2,2,2,3,3,3,1,2,0,6,5,2,3,2,4,2,0,0,2,3,2,4,1,4,8,4,9,12,3,2,2,5,3,8,7,8,2,0,3,13,3,4,9,8,1,2,6,28,7,7,6,11,8,5,20,20,3,6,9,13,26,4,7,14,20,11,8,6,8,4,7,11,14,7,14,11,14,10,19,8,13,8,17,9,8,24,20,21,30,18,29,14,24,28,32,20,12,32,0,0,94,24,46,29,18,28,21,32,24,30,20,43,29,23,23,42,30,20,19,19,39,18,9,24,21,18,19,25,5,13,13,26,32,30,21,18,21,15,23,31,17,22,14,15,11,19,10,15,14,7,17,9,13,18,19,6,6,11,6,11,8,15,8,2,4,6,2,8,10,6,5,1,8,3,10,13,12,11,5,0,7,12,4,8,5,8,5,6,9,10,7,11,1,7,14,17,8,6,4,7,4,7,15,3,9,2,7,6,6,37,21,13,8,5,13,13,8,12,10,12,15,12,10,19,9,19,16,9,15
