State,Latitude,Longitude,Cases (cumulative),Case Rate,Cases (new), Population ,4/12/20,4/13/20
Alabama,32.3182,-86.9023,,,,4903185,0,0
Alaska,61.3707,-152.4044,,,,731545,0,0
American Samoa,-14.271,-170.132,,,,55465,0,0
Arizona,33.7298,-111.4312,,,,7278717,0,0
Arkansas,34.9697,-92.3731,,,,3017804,0,0
California,36.1162,-119.6816,,,,39512223,0,0
Colorado,39.0598,-105.3111,,,,5758736,0,0
Connecticut,41.5978,-72.7554,,,,3565287,0,0
Delaware,39.3185,-75.5071,,,,973764,0,0
Diamond Princess,35.424459,139.678854,,,,,0,0
District of Columbia,38.8974,-77.0268,,,,705749,0,0
Florida,27.7663,-81.6868,,,,21477737,0,0
Georgia,33.0406,-83.6431,,,,10617423,0,0
Grand Princess,37.805761,-122.339794,,,,,0,0
Guam,13.4443,144.7937,,,,164229,0,0
Hawaii,21.0943,-157.4983,,,,1415872,0,0
Idaho,44.2405,-114.4788,,,,1787065,0,0
Illinois,40.3495,-88.9861,,,,12671821,0,0
Indiana,39.8494,-86.2583,,,,6732219,0,0
Iowa,42.0115,-93.2105,,,,3155070,0,0
Kansas,38.5266,-96.7265,,,,2913314,0,0
Kentucky,37.6681,-84.6701,,,,4467673,0,0
Louisiana,31.1695,-91.8678,,,,4648794,0,0
Maine,44.6939,-69.3819,,,,1344212,0,0
Maryland,39.0639,-76.8021,,,,6045680,0,0
Massachusetts,42.2302,-71.5301,,,,6892503,0,0
Michigan,43.3266,-84.5361,,,,9986857,0,0
Minnesota,45.6945,-93.9002,,,,5639632,0,0
Mississippi,32.7416,-89.6787,,,,2976149,0,0
Missouri,38.4561,-92.2884,,,,6137428,0,0
Montana,46.9219,-110.4544,,,,1068778,0,0
Nebraska,41.1254,-98.2681,,,,1934408,0,0
Nevada,38.3135,-117.0554,,,,3080156,0,0
New Hampshire,43.4525,-71.5639,,,,1359711,0,0
New Jersey,40.2989,-74.521,,,,8882190,0,0
New Mexico,34.8405,-106.2485,,,,2096829,0,0
New York,42.1657,-74.9481,,,,19453561,0,0
North Carolina,35.6301,-79.8064,,,,10488084,0,0
North Dakota,47.5289,-99.784,,,,762062,0,0
Northern Mariana Islands,15.0979,145.6739,,,,55144,0,0
Ohio,40.3888,-82.7649,,,,11689100,0,0
Oklahoma,35.5653,-96.9289,,,,3956971,0,0
Oregon,44.572,-122.0709,,,,4217737,0,0
Pennsylvania,40.5908,-77.2098,,,,12801989,0,0
Puerto Rico,18.2208,-66.5901,,,,2933408,0,0
Rhode Island,41.6809,-71.5118,,,,1059361,0,0
South Carolina,33.8569,-80.945,,,,5148714,0,0
South Dakota,44.2998,-99.4388,,,,884659,0,0
Tennessee,35.7478,-86.6923,,,,6829174,0,0
Texas,31.0545,-97.5635,,,,28995881,0,0
Utah,40.15,-111.8624,,,,3205958,0,0
Vermont,44.0459,-72.7107,,,,623989,0,0
Virgin Islands,18.3358,-64.8963,,,,107268,0,0
Virginia,37.7693,-78.17,,,,8535519,0,0
Washington,47.4009,-121.4905,,,,7614893,0,0
West Virginia,38.4912,-80.9545,,,,1792147,0,0
Wisconsin,44.2685,-89.6165,,,,5822434,0,0
Wyoming,42.756,-107.3025,,,,578759,0,0
